Date,Score,VeryPositive,Positive,Neutral,Negative,Very Negative
6/23/18,1.6601954,4.2815547,14.669894,40.932045,33.533962,6.349512
8/1/18,1.4827617,2.732763,10.719829,36.784477,40.693962,8.9180975
5/3/18,1.4765381,2.5631804,10.454869,37.721992,39.77615,9.335741
6/17/18,1.6397071,3.42647,12.794119,40.941166,35.16176,7.4926505
8/15/18,1.5199999,2.1599998,8.92,42.08,39.24,7.4799995
8/21/18,1.4836974,3.1195662,11.418482,37.902184,38.38042,9.010871
1/2/18,1.5377368,3.301888,12.490562,40.481136,36.301903,7.2169795
4/25/18,1.6144581,3.7469883,14.66265,37.228935,35.56626,8.662649
9/4/18,1.6298366,3.3812199,13.215476,41.690594,33.740345,7.707173
5/24/18,1.5753405,3.1780787,12.671224,40.369873,34.945198,8.520543
6/6/18,1.6045212,3.1694944,13.536716,40.949146,34.858757,7.20904
9/20/18,1.627453,3.7385662,14.601314,39.339878,34.40522,7.6797447
3/8/18,1.5303018,2.878786,11.818182,38.93938,37.02272,9.053032
2/10/18,1.5649335,3.5974014,12.75325,37.999985,37.090908,8.324678
7/16/18,1.5555536,3.0555525,11.965282,37.819447,38.506935,8.409721
2/27/18,1.599999,3.9999976,13.999995,39.67,34.50999,7.640006
10/1/18,1.5839696,3.2480927,12.767181,38.870235,35.87403,8.904579
11/9/18,1.6807256,3.506028,12.933738,42.469875,33.891552,6.9518037
10/27/18,1.5987258,3.8280244,14.961778,37.535038,35.299366,8.203821
1/11/18,1.6126119,3.1891906,13.054051,40.009007,36.378372,7.2162185
4/19/18,1.646017,3.1415932,14.203547,39.955738,34.44248,7.9911523
11/26/18,1.7460325,3.396826,15.444443,43.888885,30.492067,6.492063
3/26/18,1.5785118,3.46281,14.008278,38.347103,36.611565,7.355375
7/9/18,1.6747957,3.4308927,13.999994,41.487823,34.162617,6.634143
5/18/18,1.6086951,3.5739121,13.730436,38.70435,35.930424,7.7130437
12/31/17,1.4634143,2.951219,11.731706,37.29268,39.97561,7.853658
2/15/18,1.6083325,3.9916666,13.874998,38.42501,35.71666,7.766669
10/16/18,1.5460503,2.703945,11.125003,41.381596,36.013172,8.440787
9/9/18,1.5507244,2.8913057,11.775366,40.086945,36.782616,8.2029
8/6/18,1.7068968,3.698277,14.465519,42.862064,32.0431,6.629311
11/4/18,1.5980402,3.3921587,13.852942,41.509792,33.38236,7.4607873
5/29/18,1.5882372,2.95425,13.222225,40.058823,35.64051,7.8692884
6/1/18,1.6114641,2.808915,12.133752,42.7962,34.528675,7.433122
9/26/18,1.64706,3.4191167,13.794117,40.911766,33.95588,7.6985297
1/28/18,1.6373638,3.296704,14.197802,39.142864,36.032967,7.186815
1/8/18,1.5878397,3.2770302,12.26352,39.493256,36.959457,7.7837877
6/12/18,1.5495518,2.963965,11.738744,38.92341,37.891888,8.288293
4/20/18,1.6195657,3.6521735,13.141299,43.119576,32.98913,6.771736
7/4/18,1.529999,2.7999983,11.230001,38.42,38.779995,8.570003
3/2/18,1.653846,3.9134626,16.317305,39.923096,32.4423,7.211541
10/22/18,1.6289319,3.1069188,14.77358,40.484283,34.09434,7.276732
