Date,Very Negative,Negative,Neutral,Positive,Very Positive,Sentiment Score
11/15/18,5,30,36,25,4,2
11/15/18,36,50,10,1,2,1
11/15/18,23,61,10,3,3,1
11/15/18,39,54,5,0,1,1
11/15/18,2,16,68,12,1,2
11/15/18,6,45,39,9,2,1
11/15/18,5,30,46,16,3,2
11/15/18,32,55,9,2,2,1
11/15/18,3,14,63,15,4,2
11/15/18,12,74,10,2,1,1
11/15/18,1,8,77,13,1,2
11/15/18,30,55,13,1,1,1
11/15/18,4,16,29,43,9,3
11/15/18,15,58,20,5,2,1
11/15/18,36,50,10,1,2,1
11/15/18,36,50,10,1,2,1
11/15/18,49,40,8,1,3,0
11/15/18,4,50,42,3,1,1
11/15/18,41,57,2,0,0,1
11/15/18,2,27,69,2,0,2
11/15/18,17,59,18,3,2,1
11/15/18,6,50,37,6,1,1
11/15/18,1,8,77,13,1,2
11/15/18,5,41,48,4,1,2
11/15/18,5,30,46,16,3,2
11/15/18,16,68,14,1,1,1
11/15/18,30,55,13,1,1,1
11/15/18,23,73,3,0,0,1
11/15/18,28,65,5,1,1,1
11/15/18,21,69,8,1,1,1
11/15/18,27,68,4,0,0,1
11/15/18,3,19,55,20,3,2
11/15/18,18,63,16,2,1,1
11/15/18,1,15,81,3,0,2
11/15/18,1,8,84,7,1,2
11/15/18,41,57,2,0,0,1
11/15/18,30,55,13,1,1,1
11/15/18,6,50,37,6,1,1
11/15/18,3,14,63,15,4,2
11/15/18,27,60,10,1,1,1
11/15/18,1,5,74,21,1,2
11/15/18,4,28,52,14,2,2
11/15/18,42,45,10,1,2,1
11/15/18,2,16,74,7,1,2
11/15/18,6,56,35,2,1,1
11/15/18,4,28,52,14,2,2
11/15/18,1,4,7,74,14,3
11/15/18,17,62,12,5,3,1
11/15/18,39,54,5,0,1,1
11/15/18,23,61,10,3,3,1
11/15/18,7,42,33,14,4,1
11/15/18,7,54,33,5,1,1
11/15/18,33,58,7,1,1,1
11/15/18,27,60,10,1,1,1
11/15/18,36,50,10,1,2,1
11/15/18,27,68,2,1,1,1
11/15/18,2,10,53,31,4,2
11/15/18,7,51,34,7,2,1
11/15/18,6,43,40,9,2,1
11/15/18,9,60,27,3,1,1
11/15/18,4,17,18,49,11,3
11/15/18,12,67,18,2,1,1
11/15/18,1,8,77,13,1,2
11/15/18,2,16,77,6,1,2
11/15/18,3,18,58,18,3,2
11/15/18,3,16,56,22,3,2
11/15/18,14,65,19,1,1,1
11/15/18,4,25,48,20,4,2
11/15/18,2,16,77,6,1,2
11/15/18,5,41,38,15,2,1
11/15/18,3,16,56,23,3,2
11/15/18,23,61,10,3,3,1
11/15/18,4,50,42,3,1,1
11/15/18,36,50,10,1,2,1
11/15/18,36,50,10,1,2,1
11/15/18,40,48,10,1,1,1
11/15/18,3,16,56,23,3,2
11/15/18,7,51,34,7,2,1
11/15/18,27,56,12,3,3,1
11/15/18,3,14,42,36,5,2
11/15/18,7,59,31,2,1,1
11/15/18,21,64,12,2,2,1
11/15/18,0,2,96,2,0,2
11/15/18,12,52,16,15,4,1
11/15/18,18,64,14,2,1,1
11/15/18,36,50,10,1,2,1
11/15/18,4,17,33,39,7,3
11/15/18,16,64,13,4,2,1
11/15/18,39,54,5,0,1,1
11/15/18,12,60,12,11,5,1
11/15/18,21,74,3,1,1,1
11/15/18,7,40,37,13,3,1
11/15/18,7,51,34,7,2,1
11/15/18,0,8,88,3,0,2
11/15/18,1,8,77,13,1,2
11/15/18,7,51,30,10,2,1
11/15/18,7,51,34,7,2,1
11/15/18,6,29,40,20,5,2
11/15/18,0,2,96,2,0,2
11/15/18,0,8,88,3,0,2
11/15/18,5,30,43,18,4,2
11/15/18,16,59,20,3,2,1
11/15/18,4,24,53,16,3,2
11/15/18,3,14,63,15,4,2
11/15/18,7,44,36,11,3,1
11/15/18,9,45,33,11,3,1
11/15/18,7,51,34,7,2,1
11/15/18,1,8,77,13,1,2
11/15/18,18,59,18,3,2,1
11/15/18,23,67,3,4,3,1
11/15/18,7,47,43,3,1,1
11/15/18,8,51,33,5,2,1
11/15/18,0,2,96,2,0,2
11/15/18,3,18,58,18,3,2
11/15/18,4,18,38,33,7,2
11/15/18,3,23,58,14,2,2
11/15/18,4,11,15,56,14,3
11/15/18,0,8,88,3,0,2
11/15/18,3,14,63,15,4,2
11/15/18,0,2,96,2,0,2
11/15/18,41,57,2,0,0,1
11/15/18,36,62,2,0,0,1
11/15/18,0,4,94,2,0,2
11/15/18,21,62,14,2,2,1
11/15/18,2,16,61,18,3,2
11/15/18,1,8,77,13,1,2
11/15/18,32,53,10,3,3,1
11/15/18,1,8,84,7,1,2
11/15/18,31,57,8,2,2,1
11/15/18,0,2,96,2,0,2
11/15/18,1,8,77,13,1,2
11/15/18,32,53,10,3,3,1
11/15/18,20,63,11,3,2,1
11/15/18,18,75,7,0,0,1
11/15/18,41,57,2,0,0,1
11/15/18,12,58,24,4,2,1
11/15/18,18,75,7,0,0,1
11/15/18,20,58,12,6,4,1
11/15/18,5,31,41,19,4,2
11/15/18,20,63,11,3,2,1
11/15/18,13,59,20,6,3,1
11/15/18,7,54,31,6,2,1
11/15/18,21,61,16,1,1,1
11/15/18,13,51,17,13,6,1
11/15/18,3,14,63,15,4,2
11/15/18,14,63,19,3,1,1
11/15/18,3,18,58,18,3,2
11/15/18,1,8,77,13,1,2
11/15/18,18,48,17,12,6,1
11/15/18,5,30,46,16,3,2
11/15/18,6,29,40,20,5,2
11/15/18,21,62,12,3,2,1
11/15/18,2,10,30,49,9,3
11/15/18,15,78,6,0,0,1
11/15/18,27,68,2,1,1,1
11/15/18,3,14,63,15,4,2
11/15/18,7,51,34,7,2,1
11/15/18,12,57,25,4,2,1
11/15/18,57,41,1,0,0,0
11/15/18,1,10,79,9,1,2
11/15/18,12,60,19,6,3,1
11/15/18,13,79,7,1,0,1
11/15/18,0,0,100,0,0,2
11/15/18,1,8,77,13,1,2
11/15/18,3,14,63,15,4,2
11/15/18,22,60,14,2,1,1
11/15/18,7,51,34,7,2,1
11/15/18,4,28,55,11,2,2
11/15/18,6,29,40,20,5,2
11/15/18,36,62,2,0,0,1
11/15/18,38,51,9,1,1,1
11/15/18,0,2,96,2,0,2
11/15/18,1,8,77,13,1,2
11/15/18,12,60,12,11,5,1
11/15/18,22,60,14,2,1,1
11/15/18,1,8,84,7,1,2
11/15/18,3,18,58,18,3,2
11/15/18,2,26,69,3,0,2
11/15/18,7,51,34,7,2,1
11/15/18,17,59,15,5,3,1
11/15/18,7,51,34,7,2,1
11/15/18,14,61,17,5,3,1
11/15/18,15,77,6,1,1,1
11/15/18,7,51,34,7,2,1
11/15/18,5,30,46,16,3,2
11/15/18,5,43,45,6,1,2
11/15/18,32,56,10,1,1,1
11/15/18,5,30,46,16,3,2
11/15/18,17,62,16,3,2,1
11/15/18,5,47,42,5,1,1
11/15/18,6,47,39,7,2,1
11/15/18,7,54,31,6,2,1
11/15/18,7,51,34,7,2,1
11/15/18,10,59,24,6,2,1
11/15/18,22,62,13,2,1,1
11/15/18,4,25,48,20,4,2
11/15/18,7,51,34,7,2,1
11/15/18,19,63,12,3,2,1
11/15/18,28,57,8,3,4,1
11/15/18,7,58,27,6,2,1
11/15/18,7,51,34,7,2,1
11/15/18,20,60,14,4,3,1
11/15/18,2,18,71,8,1,2
11/15/18,11,47,19,17,6,1
11/15/18,4,32,45,15,2,2
11/15/18,4,35,56,5,1,2
11/15/18,6,42,41,10,2,1
11/15/18,23,60,12,2,2,1
11/15/18,3,14,63,15,4,2
11/15/18,9,35,25,21,9,1
11/15/18,6,47,38,7,2,1
11/14/18,24,57,15,2,2,1
11/14/18,9,57,28,5,1,1
11/14/18,2,16,77,6,1,2
11/14/18,2,19,72,7,1,2
11/14/18,0,2,96,2,0,2
11/14/18,4,31,44,19,2,2
11/14/18,14,61,19,4,2,1
11/14/18,22,61,12,4,2,1
11/14/18,5,41,48,4,1,2
11/14/18,2,16,67,13,2,2
11/14/18,12,62,22,3,1,1
11/14/18,0,2,96,2,0,2
11/14/18,22,60,14,2,1,1
11/14/18,1,8,79,10,1,2
11/14/18,0,8,88,3,0,2
11/14/18,0,2,96,2,0,2
11/14/18,1,8,84,7,1,2
11/14/18,15,56,18,7,3,1
11/14/18,7,58,27,6,2,1
11/14/18,7,21,22,36,13,3
11/14/18,5,26,38,25,6,2
11/14/18,25,61,11,2,2,1
11/14/18,4,25,48,20,4,2
11/14/18,25,56,16,2,1,1
11/14/18,14,54,19,9,4,1
11/14/18,0,2,96,2,0,2
11/14/18,0,2,96,2,0,2
11/14/18,23,60,12,2,2,1
11/14/18,4,28,55,11,2,2
11/14/18,13,49,20,12,6,1
11/14/18,16,62,18,3,2,1
11/14/18,4,28,55,11,2,2
11/14/18,14,61,22,1,1,1
11/14/18,28,59,8,2,2,1
11/14/18,11,78,9,1,1,1
11/14/18,5,27,44,20,4,2
11/14/18,6,29,40,20,5,2
11/14/18,7,58,27,6,2,1
11/14/18,3,18,58,18,3,2
11/14/18,5,30,43,18,4,2
11/14/18,7,58,27,6,2,1
11/14/18,30,57,9,1,2,1
11/14/18,36,54,8,1,2,1
